original_title,vote_average,release_year,original_language
Avatar,7.2,2009.0,en
Pirates of the Caribbean: At World's End,6.9,2007.0,en
Spectre,6.3,2015.0,en
The Dark Knight Rises,7.6,2012.0,en
John Carter,6.1,2012.0,en
Spider-Man 3,5.9,2007.0,en
Tangled,7.4,2010.0,en
Avengers: Age of Ultron,7.3,2015.0,en
Harry Potter and the Half-Blood Prince,7.4,2009.0,en
Batman v Superman: Dawn of Justice,5.7,2016.0,en
Superman Returns,5.4,2006.0,en
Quantum of Solace,6.1,2008.0,en
Pirates of the Caribbean: Dead Man's Chest,7.0,2006.0,en
The Lone Ranger,5.9,2013.0,en
Man of Steel,6.5,2013.0,en
The Chronicles of Narnia: Prince Caspian,6.3,2008.0,en
The Avengers,7.4,2012.0,en
Pirates of the Caribbean: On Stranger Tides,6.4,2011.0,en
Men in Black 3,6.2,2012.0,en
The Hobbit: The Battle of the Five Armies,7.1,2014.0,en
The Amazing Spider-Man,6.5,2012.0,en
Robin Hood,6.2,2010.0,en
The Hobbit: The Desolation of Smaug,7.6,2013.0,en
The Golden Compass,5.8,2007.0,en
King Kong,6.6,2005.0,en
Titanic,7.5,1997.0,en
Captain America: Civil War,7.1,2016.0,en
Battleship,5.5,2012.0,en
Jurassic World,6.5,2015.0,en
Skyfall,6.9,2012.0,en
Spider-Man 2,6.7,2004.0,en
Iron Man 3,6.8,2013.0,en
Alice in Wonderland,6.4,2010.0,en
X-Men: The Last Stand,6.3,2006.0,en
Monsters University,7.0,2013.0,en
Transformers: Revenge of the Fallen,6.0,2009.0,en
Transformers: Age of Extinction,5.8,2014.0,en
Oz: The Great and Powerful,5.7,2013.0,en
The Amazing Spider-Man 2,6.5,2014.0,en
TRON: Legacy,6.3,2010.0,en
Cars 2,5.8,2011.0,en
Green Lantern,5.1,2011.0,en
Toy Story 3,7.6,2010.0,en
Terminator Salvation,5.9,2009.0,en
Furious 7,7.3,2015.0,en
World War Z,6.7,2013.0,en
X-Men: Days of Future Past,7.5,2014.0,en
Star Trek Into Darkness,7.4,2013.0,en
Jack the Giant Slayer,5.5,2013.0,en
The Great Gatsby,7.3,2013.0,en
Prince of Persia: The Sands of Time,6.2,2010.0,en
Pacific Rim,6.7,2013.0,en
Transformers: Dark of the Moon,6.1,2011.0,en
Indiana Jones and the Kingdom of the Crystal Skull,5.7,2008.0,en
The Good Dinosaur,6.6,2015.0,en
Brave,6.7,2012.0,en
Star Trek Beyond,6.6,2016.0,en
WALL·E,7.8,2008.0,en
Rush Hour 3,6.1,2007.0,en
2012,5.6,2009.0,en
A Christmas Carol,6.6,2009.0,en
Jupiter Ascending,5.2,2015.0,en
The Legend of Tarzan,5.5,2016.0,en
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2005.0,en
X-Men: Apocalypse,6.4,2016.0,en
The Dark Knight,8.2,2008.0,en
Up,7.7,2009.0,en
Monsters vs Aliens,6.0,2009.0,en
Iron Man,7.4,2008.0,en
Hugo,7.0,2011.0,en
Wild Wild West,5.1,1999.0,en
The Mummy: Tomb of the Dragon Emperor,5.2,2008.0,en
Suicide Squad,5.9,2016.0,en
Evan Almighty,5.3,2007.0,en
Edge of Tomorrow,7.6,2014.0,en
Waterworld,5.9,1995.0,en
G.I. Joe: The Rise of Cobra,5.6,2009.0,en
Inside Out,8.0,2015.0,en
The Jungle Book,6.7,2016.0,en
Iron Man 2,6.6,2010.0,en
Snow White and the Huntsman,5.8,2012.0,en
Maleficent,7.0,2014.0,en
Dawn of the Planet of the Apes,7.3,2014.0,en
The Lovers,4.8,2015.0,en
47 Ronin,5.9,2013.0,en
Captain America: The Winter Soldier,7.6,2014.0,en
Shrek Forever After,6.0,2010.0,en
Tomorrowland,6.2,2015.0,en
Big Hero 6,7.8,2014.0,en
Wreck-It Ralph,7.1,2012.0,en
The Polar Express,6.4,2004.0,en
Independence Day: Resurgence,4.9,2016.0,en
How to Train Your Dragon,7.5,2010.0,en
Terminator 3: Rise of the Machines,5.9,2003.0,en
Guardians of the Galaxy,7.9,2014.0,en
Interstellar,8.1,2014.0,en
Inception,8.1,2010.0,en
シン・ゴジラ,6.5,2016.0,ja
The Hobbit: An Unexpected Journey,7.0,2012.0,en
The Fast and the Furious,6.6,2001.0,en
The Curious Case of Benjamin Button,7.3,2008.0,en
X-Men: First Class,7.1,2011.0,en
The Hunger Games: Mockingjay - Part 2,6.6,2015.0,en
The Sorcerer's Apprentice,5.8,2010.0,en
Poseidon,5.5,2006.0,en
Alice Through the Looking Glass,6.5,2016.0,en
Shrek the Third,6.0,2007.0,en
Warcraft,6.3,2016.0,en
Terminator Genisys,5.8,2015.0,en
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,2010.0,en
Pearl Harbor,6.6,2001.0,en
Transformers,6.6,2007.0,en
Alexander,5.6,2004.0,en
Harry Potter and the Order of the Phoenix,7.4,2007.0,en
Harry Potter and the Goblet of Fire,7.5,2005.0,en
Hancock,6.2,2008.0,en
I Am Legend,6.9,2007.0,en
Charlie and the Chocolate Factory,6.7,2005.0,en
Ratatouille,7.5,2007.0,en
Batman Begins,7.5,2005.0,en
Madagascar: Escape 2 Africa,6.2,2008.0,en
Night at the Museum: Battle of the Smithsonian,5.9,2009.0,en
X-Men Origins: Wolverine,6.2,2009.0,en
The Matrix Revolutions,6.4,2003.0,en
Frozen,7.3,2013.0,en
The Matrix Reloaded,6.7,2003.0,en
Thor: The Dark World,6.8,2013.0,en
Mad Max: Fury Road,7.2,2015.0,en
Angels & Demons,6.5,2009.0,en
Thor,6.6,2011.0,en
Bolt,6.3,2008.0,en
G-Force,5.1,2009.0,en
Wrath of the Titans,5.5,2012.0,en
Dark Shadows,5.7,2012.0,en
Mission: Impossible - Rogue Nation,7.1,2015.0,en
The Wolfman,5.5,2010.0,en
Bee Movie,5.7,2007.0,en
Kung Fu Panda 2,6.7,2011.0,en
The Last Airbender,4.7,2010.0,en
Mission: Impossible III,6.5,2006.0,en
White House Down,6.4,2013.0,en
Mars Needs Moms,5.5,2011.0,en
Flushed Away,6.0,2006.0,en
Pan,5.9,2015.0,en
Mr. Peabody & Sherman,6.7,2014.0,en
Troy,6.9,2004.0,en
Madagascar 3: Europe's Most Wanted,6.4,2012.0,en
Die Another Day,5.8,2002.0,en
Ghostbusters,5.3,2016.0,en
Armageddon,6.4,1998.0,en
Men in Black II,6.0,2002.0,en
Beowulf,5.5,2007.0,en
Kung Fu Panda 3,6.7,2016.0,en
Mission: Impossible - Ghost Protocol,6.8,2011.0,en
Rise of the Guardians,7.1,2012.0,en
Fun with Dick and Jane,5.9,2005.0,en
The Last Samurai,7.3,2003.0,en
Exodus: Gods and Kings,5.6,2014.0,en
Star Trek,7.4,2009.0,en
Spider-Man,6.8,2002.0,en
How to Train Your Dragon 2,7.6,2014.0,en
Gods of Egypt,5.3,2016.0,en
Stealth,4.9,2005.0,en
Watchmen,7.0,2009.0,en
Lethal Weapon 4,6.3,1998.0,en
Hulk,5.3,2003.0,en
G.I. Joe: Retaliation,5.4,2013.0,en
Sahara,5.7,2005.0,en
Final Fantasy: The Spirits Within,5.9,2001.0,en
Captain America: The First Avenger,6.6,2011.0,en
The World Is Not Enough,6.0,1999.0,en
Master and Commander: The Far Side of the World,6.9,2003.0,en
The Twilight Saga: Breaking Dawn - Part 2,6.1,2012.0,en
